champion_name,champion_name_kr,n_15_1,n_15_3,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp,pr_ci_low_pp,pr_ci_high_pp,winrate_15_1_pct,winrate_15_3_pct,winrate_diff_pp,wr_ci_low_pp,wr_ci_high_pp
MonkeyKing,오공,158,318,1.656,0.685,-0.97,-1.237,-0.704,54.43,51.89,-2.54,-12.05,6.97
Viktor,빅토르,166,387,1.739,0.834,-0.906,-1.181,-0.631,50.6,47.8,-2.8,-11.89,6.29
Viego,비에고,172,564,1.802,1.215,-0.587,-0.872,-0.302,49.42,50.35,0.94,-7.6,9.47
Janna,잔나,119,335,1.247,0.722,-0.525,-0.761,-0.29,45.38,56.72,11.34,0.94,21.74
Riven,리븐,98,233,1.027,0.502,-0.525,-0.737,-0.313,51.02,53.65,2.63,-9.16,14.42
Vladimir,블라디미르,134,412,1.404,0.888,-0.516,-0.767,-0.265,47.76,48.54,0.78,-8.96,10.52
Corki,코르키,99,267,1.037,0.575,-0.462,-0.677,-0.247,48.48,42.32,-6.16,-17.65,5.33
MissFortune,미스 포츈,159,572,1.666,1.233,-0.434,-0.709,-0.158,50.31,50.7,0.38,-8.4,9.17
Hecarim,헤카림,96,290,1.006,0.625,-0.381,-0.594,-0.168,45.83,51.72,5.89,-5.62,17.4
Karthus,카서스,58,111,0.608,0.239,-0.369,-0.531,-0.206,37.93,54.95,17.02,1.48,32.57
Skarner,스카너,58,118,0.608,0.254,-0.354,-0.516,-0.191,55.17,42.37,-12.8,-28.4,2.8
Gwen,그웬,66,176,0.692,0.379,-0.312,-0.488,-0.137,51.52,49.43,-2.08,-16.22,12.06
Lulu,룰루,214,900,2.242,1.939,-0.303,-0.626,0.019,51.87,55.44,3.58,-3.87,11.02
TahmKench,탐 켄치,83,267,0.87,0.575,-0.294,-0.493,-0.096,53.01,49.81,-3.2,-15.5,9.1
Sylas,사일러스,106,381,1.111,0.821,-0.29,-0.516,-0.064,55.66,52.49,-3.17,-13.87,7.54
