champion_name,n_15_1,n_15_3,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp,pr_ci_low_pp,pr_ci_high_pp,winrate_15_1_pct,winrate_15_3_pct,winrate_diff_pp,wr_ci_low_pp,wr_ci_high_pp
Diana,91,805,0.954,1.735,0.781,0.553,1.009,46.15,53.54,7.39,-3.42,18.19
Pantheon,43,471,0.451,1.015,0.564,0.402,0.727,39.53,49.26,9.72,-5.57,25.02
Vayne,100,693,1.048,1.493,0.445,0.213,0.678,59.0,51.66,-7.34,-17.67,2.99
Warwick,49,445,0.513,0.959,0.445,0.277,0.614,63.27,54.38,-8.88,-23.15,5.39
Zed,49,443,0.513,0.955,0.441,0.273,0.61,55.1,48.76,-6.34,-21.03,8.34
Chogath,77,560,0.807,1.207,0.4,0.195,0.605,35.06,53.39,18.33,6.9,29.76
Kayn,72,534,0.754,1.151,0.396,0.197,0.595,48.61,54.31,5.7,-6.6,17.99
Jinx,204,1173,2.138,2.528,0.39,0.067,0.713,49.51,52.17,2.66,-4.77,10.1
Tristana,26,305,0.272,0.657,0.385,0.257,0.513,42.31,49.51,7.2,-12.6,27.0
Kaisa,71,523,0.744,1.127,0.383,0.186,0.58,57.75,47.8,-9.95,-22.21,2.32
MasterYi,42,363,0.44,0.782,0.342,0.187,0.497,52.38,51.79,-0.59,-16.55,15.36
Kayle,66,458,0.692,0.987,0.295,0.106,0.484,45.45,53.49,8.04,-4.81,20.89
Yasuo,73,476,0.765,1.026,0.261,0.063,0.458,50.68,53.78,3.1,-9.22,15.41
Karma,95,581,0.995,1.252,0.256,0.033,0.48,49.47,50.6,1.13,-9.72,11.97
Ekko,39,308,0.409,0.664,0.255,0.107,0.403,38.46,49.35,10.89,-5.37,27.15
