champion_name,champion_name_kr,n_15_1,n_15_3,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp,winrate_diff_pp
Diana,다이애나,225,1050,1.086,1.671,0.585,3.49
Vayne,베인,187,891,0.903,1.418,0.515,-3.65
Jinx,징크스,387,1486,1.868,2.364,0.497,1.03
Zed,제드,114,587,0.55,0.934,0.384,-7.68
Ezreal,이즈리얼,283,1080,1.366,1.718,0.353,-1.72
Pantheon,판테온,126,601,0.608,0.956,0.348,3.51
Kaisa,카이사,171,726,0.825,1.155,0.33,-4.46
Chogath,초가스,175,737,0.845,1.173,0.328,11.26
Kayn,케인,181,742,0.874,1.181,0.307,10.29
MasterYi,마스터 이,114,539,0.55,0.858,0.307,-0.33
